title,genre,narrative,length,ratings
Alice's Adventures in Wonderland,Fantasy,character-driven,long,4.86
Jane Eyre,Philosophy,plot-driven,medium,3.14
The Odyssey,Philosophy,character-driven,medium,4.01
Catch-22,Adventure,character-driven,long,4.59
The Great Gatsby,Adventure,character-driven,long,4.98
Alice's Adventures in Wonderland,Horror,plot-driven,short,4.36
The Bell Jar,Mystery,character-driven,short,3.97
Dune,Fiction,character-driven,medium,4.12
Percy Jackson & the Olympians: The Lightning Thief,Magical Realism,plot-driven,medium,4.5
The Count of Monte Cristo,Sci-Fi,character-driven,long,4.76
1984,Satire,character-driven,long,4.91
Jane Eyre,Philosophy,plot-driven,short,3.95
The Lord of the Rings,Adventure,plot-driven,long,4.15
Moby Dick,Fiction,plot-driven,medium,4.06
Anna Karenina,Historical,plot-driven,medium,4.94
The Lord of the Rings,Children,plot-driven,medium,3.63
The Chronicles of Narnia,Dystopian,plot-driven,medium,3.42
Brave New World,Historical,character-driven,medium,3.9
Life of Pi,Children,character-driven,short,3.55
The Alchemist,Classics,character-driven,short,4.43
Lolita,Satire,plot-driven,short,3.49
Alice's Adventures in Wonderland,Magical Realism,plot-driven,short,3.2
The Maze Runner,Fantasy,character-driven,short,4.13
A Game of Thrones,Satire,character-driven,medium,4.61
The Secret Garden,Horror,plot-driven,medium,4.86
The Giver,Satire,character-driven,short,4.33
The Old Man and the Sea,Dystopian,character-driven,long,3.91
Memoirs of a Geisha,Adventure,plot-driven,short,4.18
A Game of Thrones,Sci-Fi,plot-driven,short,4.26
The Maze Runner,Historical,plot-driven,long,4.78
Catch-22,Fantasy,plot-driven,short,4.19
Slaughterhouse-Five,Horror,character-driven,long,3.88
A Thousand Splendid Suns,Horror,plot-driven,short,3.81
The Maze Runner,Horror,character-driven,short,3.17
Pride and Prejudice,Satire,plot-driven,long,3.79
The Road,Satire,plot-driven,short,3.55
Lolita,Fiction,plot-driven,medium,4.06
Dune,Sci-Fi,character-driven,long,4.24
A Tale of Two Cities,Adventure,plot-driven,medium,3.21
Brave New World,Historical,character-driven,long,4.99
Crime and Punishment,Fiction,plot-driven,long,4.04
The Night Circus,Adventure,plot-driven,long,3.21
Crime and Punishment,Classics,character-driven,medium,4.96
The Maze Runner,Fiction,character-driven,short,4.22
To Kill a Mockingbird,Dystopian,character-driven,long,4.88
The Great Gatsby,Fantasy,plot-driven,medium,4.87
The Road,Classics,plot-driven,long,4.51
A Thousand Splendid Suns,Fiction,plot-driven,short,4.25
Fahrenheit 451,Philosophy,plot-driven,short,4.54
War and Peace,Satire,character-driven,medium,4.5
Moby Dick,Horror,character-driven,short,3.91
Percy Jackson & the Olympians: The Lightning Thief,Horror,plot-driven,short,3.47
Percy Jackson & the Olympians: The Lightning Thief,Fiction,character-driven,long,4.63
The Lord of the Rings,Fantasy,plot-driven,medium,4.37
The Little Prince,Satire,plot-driven,long,3.67
The Giver,Fantasy,character-driven,long,4.31
A Game of Thrones,Classics,plot-driven,medium,4.93
The Maze Runner,Magical Realism,character-driven,long,4.88
Anna Karenina,Satire,plot-driven,long,4.53
Alice's Adventures in Wonderland,Dystopian,plot-driven,long,3.26
Dune,Romance,plot-driven,long,4.39
The Picture of Dorian Gray,Romance,character-driven,medium,4.18
The Odyssey,Satire,plot-driven,long,3.08
Brave New World,Historical,plot-driven,short,3.27
Les Misérables,Fantasy,character-driven,medium,4.23
Harry Potter and the Philosopher's Stone,Horror,character-driven,long,4.01
A Tale of Two Cities,Fantasy,character-driven,medium,4.77
Jane Eyre,Horror,plot-driven,short,3.71
The Shining,Mystery,character-driven,medium,4.5
The Alchemist,Fiction,character-driven,short,4.49
War and Peace,Historical,character-driven,long,4.79
The Chronicles of Narnia,Classics,plot-driven,long,4.89
Frankenstein,Philosophy,plot-driven,short,4.29
The Great Gatsby,Philosophy,plot-driven,long,3.09
The Alchemist,Romance,plot-driven,short,3.4
Dune,Satire,character-driven,short,4.19
The Hobbit,Mystery,character-driven,short,4.21
The Lord of the Rings,Historical,plot-driven,long,3.78
The Book Thief,Sci-Fi,plot-driven,short,4.52
Pride and Prejudice,Fiction,plot-driven,short,4.24
Wuthering Heights,Sci-Fi,plot-driven,short,4.57
A Game of Thrones,Classics,plot-driven,short,4.21
Memoirs of a Geisha,Fantasy,character-driven,medium,4.04
War and Peace,Mystery,plot-driven,medium,3.5
Catch-22,Mystery,plot-driven,long,4.04
Moby Dick,Sci-Fi,character-driven,long,4.04
Jane Eyre,Historical,plot-driven,long,3.53
The Alchemist,Fiction,character-driven,medium,4.4
Anna Karenina,Satire,plot-driven,medium,3.68
The Lord of the Rings,Fiction,character-driven,medium,4.21
The Girl with the Dragon Tattoo,Children,plot-driven,short,4.12
The Da Vinci Code,Fantasy,plot-driven,medium,4.71
The Catcher in the Rye,Fantasy,plot-driven,long,4.64
A Tale of Two Cities,Philosophy,character-driven,medium,4.17
The Alchemist,Mystery,plot-driven,medium,3.2
Harry Potter and the Philosopher's Stone,Romance,character-driven,short,3.17
The Night Circus,Satire,plot-driven,short,3.31
The Shining,Adventure,character-driven,medium,3.35
The Alchemist,Fiction,plot-driven,medium,4.53
The Night Circus,Adventure,character-driven,medium,4.25
Anna Karenina,Romance,plot-driven,long,4.35
Memoirs of a Geisha,Philosophy,character-driven,short,3.02
Dune,Romance,plot-driven,short,4.64
A Game of Thrones,Philosophy,plot-driven,short,4.42
Alice's Adventures in Wonderland,Children,plot-driven,long,4.05
Pride and Prejudice,Horror,plot-driven,medium,3.48
The Book Thief,Philosophy,plot-driven,short,4.4
Big Little Lies,Dystopian,plot-driven,long,4.85
The Little Prince,Magical Realism,character-driven,long,4.0
Harry Potter and the Philosopher's Stone,Mystery,plot-driven,long,4.92
The Chronicles of Narnia,Fiction,character-driven,medium,4.55
A Game of Thrones,Sci-Fi,character-driven,medium,4.7
A Game of Thrones,Sci-Fi,plot-driven,long,4.84
1984,Sci-Fi,plot-driven,long,4.93
Harry Potter and the Philosopher's Stone,Fiction,character-driven,medium,4.72
Dracula,Mystery,character-driven,long,4.29
Fahrenheit 451,Philosophy,plot-driven,long,3.3
The Hobbit,Horror,character-driven,short,3.69
Alice's Adventures in Wonderland,Fiction,character-driven,short,4.86
The Picture of Dorian Gray,Magical Realism,character-driven,long,3.91
Anna Karenina,Classics,plot-driven,long,4.09
Fahrenheit 451,Sci-Fi,plot-driven,long,4.07
The Count of Monte Cristo,Satire,plot-driven,medium,4.72
1984,Romance,plot-driven,long,4.26
To Kill a Mockingbird,Fiction,character-driven,short,4.25
The Odyssey,Classics,character-driven,short,4.37
Fahrenheit 451,Sci-Fi,plot-driven,long,4.9
The Catcher in the Rye,Philosophy,character-driven,long,3.28
1984,Dystopian,plot-driven,medium,4.57
Big Little Lies,Philosophy,plot-driven,long,3.91
Ender's Game,Philosophy,plot-driven,short,4.28
The Da Vinci Code,Fantasy,plot-driven,long,4.2
The Girl on the Train,Historical,plot-driven,short,4.78
1984,Children,character-driven,medium,3.61
Crime and Punishment,Satire,plot-driven,long,4.89
The Bell Jar,Fiction,character-driven,short,4.49
Memoirs of a Geisha,Fiction,character-driven,long,4.05
The Night Circus,Fiction,plot-driven,long,4.28
Slaughterhouse-Five,Adventure,plot-driven,long,4.45
Percy Jackson & the Olympians: The Lightning Thief,Fantasy,character-driven,long,4.19
Fahrenheit 451,Classics,character-driven,medium,4.02
Moby Dick,Horror,plot-driven,short,4.73
The Hunger Games,Historical,plot-driven,medium,4.51
Moby Dick,Fiction,character-driven,medium,4.34
The Hunger Games,Adventure,plot-driven,short,4.01
The Hunger Games,Mystery,character-driven,long,3.02
A Tale of Two Cities,Horror,plot-driven,short,4.17
One Hundred Years of Solitude,Adventure,character-driven,short,3.65
Les Misérables,Adventure,plot-driven,long,3.24
The Catcher in the Rye,Romance,character-driven,short,4.52
Alice's Adventures in Wonderland,Satire,character-driven,short,4.19
The Night Circus,Adventure,character-driven,medium,3.34
The Shining,Fantasy,plot-driven,short,4.01
The Secret Garden,Fantasy,plot-driven,long,4.85
The Giver,Dystopian,character-driven,short,4.74
Brave New World,Horror,plot-driven,short,4.64
Crime and Punishment,Mystery,character-driven,short,4.49
Dune,Satire,character-driven,short,4.29
Alice's Adventures in Wonderland,Romance,character-driven,medium,4.41
Alice's Adventures in Wonderland,Children,plot-driven,long,4.43
One Hundred Years of Solitude,Adventure,character-driven,short,4.05
Percy Jackson & the Olympians: The Lightning Thief,Dystopian,character-driven,short,4.24
The Road,Horror,character-driven,short,3.03
The Alchemist,Mystery,plot-driven,short,4.77
The Fault in Our Stars,Historical,character-driven,short,5.0
Ender's Game,Horror,plot-driven,long,4.23
Crime and Punishment,Adventure,character-driven,medium,4.29
The Shining,Fantasy,plot-driven,medium,4.67
The Secret Garden,Adventure,plot-driven,medium,4.53
The Picture of Dorian Gray,Historical,character-driven,short,3.65
Moby Dick,Dystopian,character-driven,long,4.6
Lolita,Philosophy,plot-driven,long,3.64
Dracula,Classics,plot-driven,short,4.3
The Little Prince,Mystery,plot-driven,short,3.83
Anna Karenina,Philosophy,character-driven,short,3.2
Gone with the Wind,Horror,plot-driven,long,4.08
The Lord of the Rings,Fantasy,plot-driven,long,4.62
Harry Potter and the Philosopher's Stone,Horror,character-driven,short,4.78
Ender's Game,Adventure,plot-driven,medium,4.0
Les Misérables,Historical,plot-driven,long,3.77
The Giver,Dystopian,character-driven,short,3.28
The Shining,Magical Realism,plot-driven,long,3.8
Life of Pi,Adventure,character-driven,medium,4.64
The Shining,Romance,character-driven,medium,3.55
Memoirs of a Geisha,Fiction,plot-driven,short,4.05
The Maze Runner,Satire,plot-driven,long,4.54
The Chronicles of Narnia,Romance,character-driven,long,4.55
A Game of Thrones,Romance,character-driven,long,4.1
Anna Karenina,Adventure,character-driven,long,3.4
Wuthering Heights,Fantasy,plot-driven,long,4.27
The Girl on the Train,Children,plot-driven,short,4.31
The Bell Jar,Philosophy,character-driven,short,3.02
To Kill a Mockingbird,Horror,character-driven,long,3.15
Life of Pi,Classics,plot-driven,short,4.58
Anna Karenina,Sci-Fi,plot-driven,long,4.64
The Alchemist,Dystopian,character-driven,long,4.51
Lolita,Sci-Fi,plot-driven,short,4.67
Anna Karenina,Adventure,character-driven,long,3.08
War and Peace,Horror,plot-driven,long,3.69
The Giver,Philosophy,character-driven,short,4.09
Jane Eyre,Satire,character-driven,short,4.89
Dune,Philosophy,character-driven,long,4.17
Memoirs of a Geisha,Adventure,plot-driven,medium,4.58
The Picture of Dorian Gray,Fiction,plot-driven,short,4.74
The Hobbit,Children,plot-driven,medium,3.71
The Night Circus,Horror,plot-driven,medium,4.23
The Girl with the Dragon Tattoo,Horror,character-driven,long,4.12
Ender's Game,Satire,plot-driven,long,3.06
The Hobbit,Mystery,character-driven,medium,4.55
The Odyssey,Satire,plot-driven,medium,4.08
The Fault in Our Stars,Satire,plot-driven,long,4.64
Les Misérables,Adventure,plot-driven,long,4.16
Alice's Adventures in Wonderland,Historical,plot-driven,medium,3.54
The Little Prince,Philosophy,plot-driven,medium,4.1
The Night Circus,Historical,plot-driven,short,4.22
1984,Philosophy,plot-driven,long,4.81
The Girl with the Dragon Tattoo,Adventure,character-driven,short,3.63
The Chronicles of Narnia,Romance,plot-driven,short,4.63
The Odyssey,Adventure,plot-driven,long,4.2
Crime and Punishment,Sci-Fi,character-driven,medium,4.7
The Bell Jar,Horror,character-driven,short,4.08
Catch-22,Dystopian,character-driven,short,3.37
Wuthering Heights,Magical Realism,character-driven,long,4.48
The Secret Garden,Fiction,plot-driven,long,4.54
A Game of Thrones,Romance,character-driven,short,3.35
Alice's Adventures in Wonderland,Romance,character-driven,short,4.4
The Kite Runner,Adventure,character-driven,long,3.79
Dune,Satire,character-driven,long,3.96
Gone with the Wind,Satire,plot-driven,long,3.17
The Great Gatsby,Horror,character-driven,short,3.63
The Alchemist,Magical Realism,character-driven,medium,4.07
To Kill a Mockingbird,Adventure,character-driven,short,3.1
To Kill a Mockingbird,Classics,plot-driven,medium,4.35
Harry Potter and the Philosopher's Stone,Historical,plot-driven,medium,4.19
The Maze Runner,Sci-Fi,plot-driven,long,4.68
Wuthering Heights,Horror,plot-driven,long,4.01
The Catcher in the Rye,Fiction,character-driven,short,4.59
Alice's Adventures in Wonderland,Fiction,character-driven,short,4.49
The Count of Monte Cristo,Satire,character-driven,medium,3.19
The Picture of Dorian Gray,Magical Realism,plot-driven,medium,4.95
Anna Karenina,Fiction,plot-driven,medium,4.05
Slaughterhouse-Five,Romance,plot-driven,medium,3.67
1984,Magical Realism,plot-driven,long,3.44
The Girl with the Dragon Tattoo,Philosophy,character-driven,short,3.79
Gone with the Wind,Horror,plot-driven,medium,4.88
The Da Vinci Code,Romance,plot-driven,long,3.81
The Shining,Mystery,character-driven,short,3.15
War and Peace,Mystery,plot-driven,medium,4.72
The Lord of the Rings,Horror,character-driven,medium,3.58
The Great Gatsby,Philosophy,character-driven,short,3.59
The Road,Children,character-driven,medium,4.11
Fahrenheit 451,Horror,plot-driven,long,4.66
Big Little Lies,Classics,character-driven,medium,4.32
The Book Thief,Dystopian,character-driven,short,4.24
A Game of Thrones,Classics,character-driven,short,4.78
Big Little Lies,Magical Realism,character-driven,medium,3.86
The Road,Classics,character-driven,long,4.12
To Kill a Mockingbird,Mystery,character-driven,medium,4.6
Big Little Lies,Dystopian,plot-driven,long,3.4
Jane Eyre,Children,plot-driven,short,3.92
The Shining,Magical Realism,plot-driven,short,4.64
Memoirs of a Geisha,Horror,character-driven,medium,3.24
Pride and Prejudice,Classics,character-driven,medium,4.98
The Shining,Horror,character-driven,medium,4.23
Memoirs of a Geisha,Children,character-driven,short,4.39
The Girl with the Dragon Tattoo,Fantasy,character-driven,medium,4.58
The Night Circus,Fantasy,plot-driven,short,4.67
The Count of Monte Cristo,Philosophy,character-driven,short,3.67
Dracula,Magical Realism,plot-driven,long,4.72
Lolita,Mystery,plot-driven,medium,3.09
The Maze Runner,Fantasy,character-driven,medium,4.85
The Odyssey,Adventure,plot-driven,short,4.29
Big Little Lies,Fantasy,plot-driven,long,4.64
The Little Prince,Romance,character-driven,short,4.93
To Kill a Mockingbird,Magical Realism,character-driven,medium,4.51
The Catcher in the Rye,Fantasy,plot-driven,medium,4.35
The Giver,Philosophy,character-driven,medium,4.84
The Kite Runner,Historical,character-driven,medium,4.17
The Count of Monte Cristo,Sci-Fi,plot-driven,short,4.51
The Little Prince,Philosophy,plot-driven,long,4.75
A Thousand Splendid Suns,Romance,character-driven,short,4.83
Dune,Romance,character-driven,medium,4.51
Alice's Adventures in Wonderland,Historical,plot-driven,short,4.15
The Giver,Dystopian,plot-driven,long,4.86
The Shining,Magical Realism,character-driven,long,3.35
The Alchemist,Fantasy,character-driven,long,4.09
The Bell Jar,Children,plot-driven,short,4.01
The Picture of Dorian Gray,Classics,plot-driven,medium,4.08
Harry Potter and the Philosopher's Stone,Horror,character-driven,short,3.0
The Book Thief,Horror,character-driven,medium,4.13
The Book Thief,Satire,character-driven,short,3.43
Harry Potter and the Philosopher's Stone,Children,character-driven,medium,3.65
Life of Pi,Fiction,character-driven,medium,4.16
The Girl with the Dragon Tattoo,Philosophy,character-driven,short,3.31
The Girl with the Dragon Tattoo,Romance,character-driven,short,4.17
Les Misérables,Historical,plot-driven,medium,4.17
The Count of Monte Cristo,Horror,plot-driven,long,4.54
The Shining,Mystery,character-driven,long,3.84
Anna Karenina,Mystery,character-driven,medium,4.22
Les Misérables,Dystopian,character-driven,long,4.15
The Bell Jar,Romance,plot-driven,short,3.69
Jane Eyre,Children,plot-driven,medium,3.82
One Hundred Years of Solitude,Fantasy,plot-driven,short,4.94
Crime and Punishment,Horror,plot-driven,long,3.93
Les Misérables,Adventure,character-driven,short,4.64
The Hobbit,Dystopian,character-driven,short,4.66
The Great Gatsby,Classics,plot-driven,medium,4.16
A Thousand Splendid Suns,Fiction,plot-driven,short,4.42
The Maze Runner,Fantasy,character-driven,long,4.32
Catch-22,Classics,character-driven,medium,4.61
The Giver,Horror,plot-driven,medium,4.33
A Tale of Two Cities,Horror,character-driven,long,3.14
A Game of Thrones,Romance,character-driven,long,4.93
To Kill a Mockingbird,Philosophy,plot-driven,long,4.7
The Little Prince,Satire,plot-driven,short,3.87
The Fault in Our Stars,Fantasy,plot-driven,long,4.39
1984,Romance,plot-driven,long,3.28
The Picture of Dorian Gray,Fantasy,character-driven,long,4.81
1984,Magical Realism,character-driven,short,3.52
Life of Pi,Satire,character-driven,short,3.42
Big Little Lies,Philosophy,character-driven,medium,4.76
Moby Dick,Satire,character-driven,medium,3.99
The Book Thief,Fiction,plot-driven,long,4.16
The Count of Monte Cristo,Classics,character-driven,medium,4.07
Big Little Lies,Adventure,plot-driven,medium,3.26
To Kill a Mockingbird,Romance,plot-driven,short,4.95
The Girl on the Train,Children,character-driven,long,4.1
The Girl on the Train,Romance,character-driven,short,3.29
The Odyssey,Fantasy,plot-driven,short,4.69
Percy Jackson & the Olympians: The Lightning Thief,Historical,character-driven,short,3.63
The Odyssey,Historical,plot-driven,medium,4.26
Gone with the Wind,Classics,character-driven,medium,4.41
The Book Thief,Mystery,plot-driven,long,4.78
Crime and Punishment,Classics,plot-driven,long,4.98
The Shining,Classics,plot-driven,short,4.88
Lolita,Romance,plot-driven,medium,3.59
Anna Karenina,Magical Realism,character-driven,medium,3.98
The Da Vinci Code,Satire,character-driven,medium,3.2
The Old Man and the Sea,Adventure,plot-driven,medium,3.43
Gone with the Wind,Historical,plot-driven,medium,4.45
One Hundred Years of Solitude,Fantasy,plot-driven,short,4.68
Les Misérables,Children,plot-driven,short,4.2
Dune,Philosophy,character-driven,long,3.87
Wuthering Heights,Adventure,plot-driven,long,3.25
Slaughterhouse-Five,Sci-Fi,plot-driven,long,4.53
Frankenstein,Adventure,plot-driven,long,5.0
The Bell Jar,Fantasy,plot-driven,short,4.66
The Road,Fantasy,character-driven,short,4.17
One Hundred Years of Solitude,Fiction,character-driven,long,4.83
Catch-22,Fantasy,character-driven,medium,4.82
Moby Dick,Fiction,plot-driven,long,4.23
Wuthering Heights,Fantasy,character-driven,medium,4.76
The Shining,Adventure,plot-driven,long,4.47
War and Peace,Classics,plot-driven,short,4.84
Brave New World,Children,plot-driven,short,3.53
Lolita,Adventure,plot-driven,medium,3.24
The Alchemist,Classics,character-driven,short,4.93
1984,Dystopian,plot-driven,medium,3.77
The Old Man and the Sea,Satire,plot-driven,short,4.76
Wuthering Heights,Satire,plot-driven,medium,3.36
Percy Jackson & the Olympians: The Lightning Thief,Adventure,plot-driven,long,3.7
Moby Dick,Fiction,plot-driven,medium,4.44
1984,Dystopian,character-driven,medium,3.28
Ender's Game,Philosophy,plot-driven,long,4.38
The Girl on the Train,Fantasy,character-driven,medium,4.2
A Tale of Two Cities,Romance,plot-driven,short,3.25
A Tale of Two Cities,Fantasy,plot-driven,medium,4.38
Catch-22,Romance,character-driven,short,3.0
Percy Jackson & the Olympians: The Lightning Thief,Fiction,plot-driven,short,4.8
To Kill a Mockingbird,Sci-Fi,plot-driven,short,4.7
Les Misérables,Romance,plot-driven,long,4.12
Ender's Game,Sci-Fi,character-driven,short,4.93
The Girl with the Dragon Tattoo,Romance,plot-driven,short,4.49
Frankenstein,Adventure,character-driven,medium,4.96
Percy Jackson & the Olympians: The Lightning Thief,Dystopian,plot-driven,medium,3.13
The Count of Monte Cristo,Adventure,character-driven,long,4.29
The Count of Monte Cristo,Fantasy,character-driven,short,4.73
The Bell Jar,Satire,plot-driven,long,3.73
The Girl on the Train,Magical Realism,plot-driven,medium,3.84
1984,Classics,plot-driven,long,4.07
A Thousand Splendid Suns,Adventure,plot-driven,long,4.56
The Shining,Classics,plot-driven,short,4.68
The Maze Runner,Sci-Fi,plot-driven,short,4.45
The Hunger Games,Philosophy,character-driven,short,4.36
1984,Mystery,plot-driven,short,3.91
Gone with the Wind,Mystery,plot-driven,short,3.31
The Shining,Sci-Fi,plot-driven,short,4.29
Frankenstein,Satire,plot-driven,medium,3.57
Frankenstein,Adventure,character-driven,long,3.68
The Kite Runner,Sci-Fi,character-driven,medium,4.06
The Hobbit,Magical Realism,plot-driven,long,4.22
The Chronicles of Narnia,Dystopian,character-driven,long,4.51
Pride and Prejudice,Children,character-driven,long,3.61
Fahrenheit 451,Fiction,character-driven,medium,4.25
Lolita,Historical,plot-driven,short,3.52
The Hunger Games,Fantasy,character-driven,medium,4.22
The Great Gatsby,Historical,plot-driven,long,4.47
Slaughterhouse-Five,Satire,character-driven,short,4.97
Big Little Lies,Fiction,plot-driven,medium,4.46
To Kill a Mockingbird,Fiction,plot-driven,long,4.69
Ender's Game,Dystopian,plot-driven,medium,4.73
The Secret Garden,Horror,character-driven,medium,3.6
War and Peace,Mystery,character-driven,short,4.2
Jane Eyre,Horror,character-driven,medium,3.44
The Maze Runner,Adventure,character-driven,long,4.24
The Catcher in the Rye,Adventure,character-driven,medium,4.64
A Tale of Two Cities,Horror,plot-driven,long,3.65
The Shining,Historical,character-driven,long,3.49
A Tale of Two Cities,Fiction,character-driven,medium,4.71
Jane Eyre,Horror,plot-driven,long,4.49
The Girl on the Train,Philosophy,plot-driven,short,4.49
The Book Thief,Adventure,plot-driven,long,4.8
The Odyssey,Romance,character-driven,long,3.03
The Fault in Our Stars,Sci-Fi,plot-driven,medium,4.55
The Catcher in the Rye,Magical Realism,plot-driven,long,4.52
War and Peace,Satire,plot-driven,long,4.14
Anna Karenina,Philosophy,plot-driven,short,4.78
A Tale of Two Cities,Magical Realism,character-driven,long,3.94
